nombre,poblacion,superficie,continente
Argentina,45376763,2780400,América
Japón,125800000,377975,Asia
Brasil,213993437,8515767,América
Alemania,83149300,357022,Europa
Nigeria,211400000,923768,África
Australia,25690000,7692024,Oceanía
India,1407560000,3287263,Asia
Estados Unidos,331900000,9833520,América
Francia,65480000,551695,Europa
Egipto,104500000,1002450,África
Rusia,145500000,17098242,Europa
China,1444216107,9596961,Asia
Sudáfrica,59390000,1221037,África
México,126014024,1964375,América
Reino Unido,67330000,243610,Europa
